cartodb_id,the_geom,name,id,symbolfld,nrel_id,cooling,nameplate,longitude,fuel,latitude,lakeocean,pca,state
173,0101000020E61000006666666666FE55C03333333333034240,1578,140,Default Symbol,1578,1,500,-87.975,2,36.025,0,p92,TN
174,0101000020E61000009A999999992155C00000000000F04140,1579,141,Default Symbol,1579,1,1700,-84.525,2,35.875,0,p92,TN
175,0101000020E610000000000000005858C06666666666C63B40,1585,142,Default Symbol,1585,5,730.2,-97.375,3,27.775,1,p65,TX
176,0101000020E61000009A999999994158C06666666666C63C40,1587,143,Default Symbol,1587,5,376.9,-97.025,3,28.775,0,p65,TX
177,0101000020E6100000CDCCCCCCCC2458C09A99999999694040,1589,144,Default Symbol,1589,2,927.5,-96.575,5,32.825,1,p63,TX
178,0101000020E610000033333333333B58C0CDCCCCCCCC5C4040,1590,145,Default Symbol,1590,2,852.2,-96.925,5,32.725,1,p63,TX
179,0101000020E610000033333333339B5AC09A99999999F93F40,1593,146,Default Symbol,1593,5,628,-106.425,3,31.975,1,p59,TX
180,0101000020E610000033333333339B5AC09A99999999F93F40,1593,30,Default Symbol,1593,2,285,-106.425,5,31.975,1,p59,TX
181,0101000020E61000009A99999999E157C0CDCCCCCCCC6C3E40,1594,147,Default Symbol,1594,2,542.8,-95.525,5,30.425,1,p66,TX
182,0101000020E610000000000000007857C06666666666063E40,1595,148,Default Symbol,1595,2,507.4,-93.875,5,30.025,1,p66,TX
183,0101000020E61000003333333333BB57C0CDCCCCCCCCAC3D40,1596,149,Default Symbol,1596,5,535.5,-94.925,3,29.675,1,p66,TX
184,0101000020E61000006666666666CE57C03333333333D33D40,1598,150,Default Symbol,1598,2,446.4,-95.225,5,29.825,1,p67,TX
185,0101000020E61000009A99999999E157C0CDCCCCCCCCEC3D40,1602,151,Default Symbol,1602,5,647.4,-95.525,3,29.925,1,p67,TX
186,0101000020E61000003333333333EB57C09A99999999793D40,1603,152,Default Symbol,1603,2,2736.8,-95.675,2,29.475,1,p67,TX
187,0101000020E61000003333333333EB57C09A99999999793D40,1603,31,Default Symbol,1603,2,1255.3,-95.675,5,29.475,1,p67,TX
188,0101000020E61000003333333333AB57C09A99999999294040,1605,153,Default Symbol,1605,2,501,-94.675,5,32.325,1,p57,TX
189,0101000020E61000006666666666AE57C06666666666764040,1606,154,Default Symbol,1606,2,40,-94.725,5,32.925,1,p57,TX
190,0101000020E61000009A99999999A157C09A99999999694040,1607,155,Default Symbol,1607,2,882,-94.525,5,32.825,1,p57,TX
191,0101000020E610000066666666666E59C03333333333C34040,1608,156,Default Symbol,1608,2,495,-101.725,5,33.525,1,p48,TX
192,0101000020E61000009A999999998159C09A99999999E94140,1609,157,Default Symbol,1609,2,49,-102.025,5,35.825,1,p48,TX
193,0101000020E610000066666666666E59C03333333333A34140,1610,158,Default Symbol,1610,2,474.7,-101.725,5,35.275,1,p48,TX
194,0101000020E610000033333333339B59C06666666666164140,1611,159,Default Symbol,1611,2,434.4,-102.425,5,34.175,1,p48,TX
195,0101000020E610000066666666664E58C0CDCCCCCCCC5C4040,1615,160,Default Symbol,1615,2,1314.8,-97.225,5,32.725,1,p63,TX
196,0101000020E6100000CDCCCCCCCC0458C03333333333D33F40,1619,161,Default Symbol,1619,2,1186.8,-96.075,2,31.825,1,p63,TX
197,0101000020E61000006666666666BE57C0CDCCCCCCCCEC3F40,1622,162,Default Symbol,1622,2,703.4,-94.975,5,31.925,1,p63,TX
198,0101000020E610000000000000000858C00000000000104040,1624,163,Default Symbol,1624,2,239.3,-96.125,5,32.125,1,p63,TX
199,0101000020E61000009A999999995158C00000000000203E40,1636,164,Default Symbol,1636,2,639,-97.275,5,30.125,1,p64,TX
200,0101000020E61000009A999999997159C03333333333C34040,1637,165,Default Symbol,1637,2,97.6,-101.775,5,33.525,1,p48,TX
201,0101000020E61000009A999999999158C06666666666463D40,1641,166,Default Symbol,1641,2,892,-98.275,5,29.275,1,p65,TX
202,0101000020E610000000000000009858C09A99999999393D40,1642,167,Default Symbol,1642,2,894,-98.375,5,29.225,1,p65,TX
203,0101000020E6100000CDCCCCCCCCC458C0CDCCCCCCCCEC3C40,1646,168,Default Symbol,1646,2,66,-99.075,5,28.925,1,p65,TX
204,0101000020E61000003333333333FB5BC03333333333634440,1648,169,Default Symbol,1648,2,251.6,-111.925,5,40.775,0,p25,UT
205,0101000020E610000066666666668E54C06666666666764240,1649,170,Default Symbol,1649,2,475,-82.225,2,36.925,0,p118,VA
206,0101000020E61000009A999999999153C0CDCCCCCCCCDC4240,1652,32,Default Symbol,1652,1,254.2,-78.275,5,37.725,0,p99,VA
