,place,lon,lat,cooling,fuel,state,f,c,idc
181,1596,-94.925,29.675,5,3,TX,Gas,CC-RC,2
182,1598,-95.225,29.825,2,5,TX,Oil,ST-RC,2
183,1602,-95.525,29.925,5,3,TX,Gas,CC-RC,2
184,1603,-95.675,29.475,2,2,TX,Coal,ST-RC,2
185,1603,-95.675,29.475,2,5,TX,Oil,ST-RC,2
186,1605,-94.675,32.325,2,5,TX,Oil,ST-RC,5
187,1606,-94.725,32.925,2,5,TX,Oil,ST-RC,5
188,1607,-94.525,32.825,2,5,TX,Oil,ST-RC,5
189,1608,-101.725,33.525,2,5,TX,Oil,ST-RC,3
190,1609,-102.025,35.825,2,5,TX,Oil,ST-RC,0
191,1610,-101.725,35.275,2,5,TX,Oil,ST-RC,3
192,1611,-102.425,34.175,2,5,TX,Oil,ST-RC,3
193,1615,-97.225,32.725,2,5,TX,Oil,ST-RC,5
194,1619,-96.075,31.825,2,2,TX,Coal,ST-RC,5
195,1622,-94.975,31.925,2,5,TX,Oil,ST-RC,5
196,1624,-96.125,32.125,2,5,TX,Oil,ST-RC,5
197,1636,-97.275,30.125,2,5,TX,Oil,ST-RC,5
198,1637,-101.775,33.525,2,5,TX,Oil,ST-RC,3
199,1641,-98.275,29.275,2,5,TX,Oil,ST-RC,2
200,1642,-98.375,29.225,2,5,TX,Oil,ST-RC,2
201,1646,-99.075,28.925,2,5,TX,Oil,ST-RC,2
202,1648,-111.925,40.775,2,5,UT,Oil,ST-RC,4
203,1649,-82.225,36.925,2,2,VA,Coal,ST-RC,3
204,1652,-78.275,37.725,1,5,VA,Oil,ST-OT,1
205,1652,-78.275,37.725,1,2,VA,Coal,ST-OT,1
206,1653,-77.375,37.375,1,2,VA,Coal,ST-OT,1
207,1653,-77.375,37.375,4,3,VA,Gas,CC-OT,1
208,1655,-77.275,38.475,2,5,VA,Oil,ST-RC,1
209,1655,-77.275,38.475,4,3,VA,Gas,CC-OT,1
210,1655,-77.275,38.475,1,5,VA,Oil,ST-OT,1
211,1656,-76.125,37.225,1,2,VA,Coal,ST-OT,3
212,1656,-76.125,37.225,1,5,VA,Oil,ST-OT,3
213,1657,-122.975,46.725,5,3,WA,Gas,CC-RC,0
214,1657,-122.975,46.725,2,2,WA,Coal,ST-RC,0
215,1660,-81.825,38.475,2,2,WV,Coal,ST-RC,1
216,1664,-79.975,39.675,2,2,WV,Coal,ST-RC,3
217,1665,-80.275,39.425,2,2,WV,Coal,ST-RC,3
218,1669,-80.825,39.825,2,2,WV,Coal,ST-RC,3
219,1670,-79.275,39.225,2,2,WV,Coal,ST-RC,0
220,1675,-118.425,34.225,5,3,CA,Gas,CC-RC,0
221,1681,-89.675,44.825,2,2,WI,Coal,ST-RC,4
222,1681,-89.675,44.825,1,5,WI,Oil,ST-OT,4
223,1681,-89.675,44.825,1,2,WI,Coal,ST-OT,4
224,1684,-91.225,43.575,2,2,WI,Coal,ST-RC,0
225,1686,-105.775,42.825,2,2,WY,Coal,ST-RC,1
226,1686,-105.775,42.825,1,2,WY,Coal,ST-OT,1
227,1687,-110.525,41.775,2,2,WY,Coal,ST-RC,4
228,1688,-96.125,33.175,2,5,TX,Oil,ST-RC,5
