,nrel_id,cooling,longitude,fuel,latitude,dischargefile
1101,588012,5,-111.725,3,40.075,701_525.tsv
1104,588110,5,-78.325,3,37.725,654_1193.tsv
1106,588165,5,-72.625,3,41.575,731_1307.tsv
1108,593927,5,-80.825,3,41.925,738_1143.tsv
1111,606975,5,-86.525,3,31.375,527_1029.tsv
1112,607160,5,-117.125,3,33.125,562_417.tsv
1115,608012,5,-74.325,1,40.525,710_1273.tsv
1118,613326,5,-94.025,3,44.175,783_879.tsv
1121,626314,5,-73.475,3,40.725,714_1290.tsv
1122,632007,5,-111.775,3,40.325,706_524.tsv
1123,632045,5,-73.375,3,40.725,714_1292.tsv
1124,632047,5,-72.925,3,40.825,716_1301.tsv
1125,632209,5,-121.375,3,38.775,675_332.tsv
1128,732864,5,-119.525,3,36.675,633_369.tsv
1129,732898,5,-80.375,3,26.675,433_1152.tsv
1133,748853,5,-80.375,3,27.375,447_1152.tsv
1138,841085,5,-102.275,3,31.825,536_714.tsv
1139,849342,5,-96.075,3,29.225,484_838.tsv
1141,856045,5,-122.175,3,39.375,687_316.tsv
1142,871146,5,-100.925,3,32.725,554_741.tsv
1145,875399,5,-90.175,3,38.625,672_956.tsv
1147,883620,5,-88.775,2,32.625,552_984.tsv
1148,884383,5,-121.775,3,38.075,661_324.tsv
1150,891963,5,-121.525,3,38.075,661_329.tsv
1154,922140,5,-96.675,3,44.425,788_826.tsv
1155,1123030,5,-97.325,3,31.125,522_813.tsv
1156,1124417,5,-75.225,3,39.875,697_1255.tsv
1158,1133698,5,-96.525,3,33.775,575_829.tsv
1163,1168279,5,-116.975,3,43.925,778_420.tsv
1167,1196724,5,-104.525,3,38.325,666_669.tsv
1170,1502940,5,-74.125,3,40.675,713_1277.tsv
1171,1503622,5,-74.425,3,40.475,709_1271.tsv
1172,1573104,5,-104.725,3,41.125,722_665.tsv
1176,1648419,5,-75.425,3,39.075,681_1251.tsv
1180,1995460,5,-84.525,3,42.675,753_1069.tsv
