years,place,lat,lon,cooling
,2414,39.725,-86.175,1
,2414,39.725,-86.175,2
,2414,39.725,-86.175,1
,2415,39.475,-86.425,2
,2416,38.525,-87.275,1
,2416,38.525,-87.275,2
,2417,41.675,-87.125,2
,2419,41.725,-86.925,2
,2420,39.925,-87.425,1
,2421,38.775,-87.225,4
,2422,40.075,-85.975,5
,2423,38.275,-85.825,1
,2424,39.525,-87.425,5
,2424,39.525,-87.425,1
,2425,37.875,-87.325,1
,2426,35.075,-78.875,5
,2427,39.775,-84.925,2
,2429,42.525,-90.625,1
,2429,42.525,-90.625,1
,2430,43.325,-91.175,1
,2431,41.775,-90.225,2
,2433,41.975,-91.625,1
,2434,42.025,-92.825,2
,2435,45.025,-93.275,4
,2436,41.175,-95.875,2
,2436,41.175,-95.875,1
,2437,42.325,-96.375,1
,2438,40.775,-91.125,1
,2439,42.025,-93.575,2
,2440,42.525,-92.425,1
,2442,41.125,-94.375,5
,2444,37.175,-100.775,2
,2445,37.725,-99.975,2
,2446,38.425,-98.825,2
,2448,37.825,-97.475,2
,2449,38.375,-94.675,2
,2450,37.575,-97.325,2
,2452,38.025,-97.925,2
,2453,39.025,-95.275,2
,2454,39.075,-95.575,2
,2455,37.075,-95.625,2
,2456,39.075,-94.625,2
,2457,39.125,-94.625,1
,2458,37.975,-100.875,2
,2459,38.125,-82.625,2
,2460,37.775,-84.725,2
,2461,38.775,-85.025,2
,2464,38.175,-85.875,5
,2465,38.075,-85.925,2
,2466,37.825,-87.075,1
,2467,37.275,-86.975,2
,2468,37.175,-88.775,1
,2469,37.925,-86.775,2
,72728,41.725,-87.425,2
,72730,40.775,-74.025,2
,72731,40.775,-73.975,2
,72745,42.875,-71.475,5
,72748,40.375,-76.375,5
,72749,32.325,-97.725,5
,72752,42.125,-71.475,6
,72767,42.975,-85.475,5
,72775,32.125,-106.875,5
,72779,37.425,-121.925,5
,72780,30.225,-93.125,2
,72783,41.925,-72.625,5
,72793,31.575,-87.525,2
,72813,35.375,-106.475,2
,72820,42.525,-78.075,5
,72826,36.425,-114.875,5
,72862,37.125,-79.275,2
,72914,36.425,-114.975,6
,72929,35.275,-93.225,2
,72931,33.325,-112.925,5
,72938,46.775,-67.825,2
,72951,40.775,-73.875,6
,72955,42.275,-73.825,6
,72973,32.375,-86.575,5
,73009,35.275,-91.375,1
,73051,30.225,-97.525,5
,73072,29.775,-94.825,5
,73085,46.625,-68.425,2
,73093,44.425,-70.175,2
,73098,40.625,-80.475,2
,73155,40.625,-75.325,5
,73184,35.625,-115.375,6
,73195,42.475,-122.875,2
,73215,44.025,-75.775,2
,73256,33.625,-114.675,5
,73271,36.125,-97.075,2
,73276,45.175,-70.425,2
,73309,41.275,-88.175,2
,73311,30.325,-81.925,5
,73318,29.475,-95.575,5
,73332,43.625,-71.725,2
,73358,34.725,-87.125,1
,73384,44.575,-68.825,2
,73408,40.975,-121.625,2
,73422,42.075,-89.325,2
,73447,38.975,-78.125,5
,73458,44.275,-85.425,2
,73473,33.575,-88.325,5
,73480,38.675,-91.775,2
,73485,38.425,-76.325,1
,73488,40.475,-78.725,2
,73503,28.275,-81.525,5
,73511,41.775,-72.675,5
,73519,46.825,-67.975,1
,73532,33.875,-118.175,5
,73535,43.975,-75.625,5
,73538,30.225,-91.075,5
,73583,28.425,-81.575,5
,73618,33.425,-84.975,5
,73622,46.625,-122.925,6
,73636,39.825,-75.375,2
,73667,33.375,-89.225,5
,73669,36.225,-95.225,5
,73701,42.725,-85.875,5
,73702,39.275,-97.125,2
,73716,41.825,-90.175,2
,73718,40.175,-88.825,2
,73720,42.925,-123.325,2
,73721,44.475,-118.725,2
,73740,32.825,-79.925,1
,73761,45.975,-106.625,2
,73765,33.875,-80.975,5
,73770,33.425,-88.425,2
,73772,32.275,-97.775,2
,73776,44.275,-88.275,5
,73813,40.375,-95.675,1
,73844,38.325,-121.125,5
,73854,42.325,-86.275,5
,73855,37.775,-79.975,1
,73863,45.875,-119.725,5
,73867,35.125,-77.075,2
,73869,40.025,-86.925,2
,73881,33.425,-111.975,2
,73939,41.675,-71.025,5
,73944,41.575,-83.075,2
,73950,30.825,-93.225,2
,73961,29.725,-95.075,5
,73974,35.725,-119.225,2
,73982,39.775,-76.275,5
,74066,40.525,-81.475,1
,74066,40.525,-81.475,1
,74075,41.375,-88.275,2
,74076,40.075,-81.975,5
,74091,42.125,-91.775,2
